epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,21572.5,2.42499,1.98545,1.16722,0.34274,0.44291,0.35461,0.11793,2.35425,1.77933,1.21259,6.2875e-05,6.2875e-05,6.2875e-05
77,21838.2,2.40541,2.00608,1.15494,0.31979,0.4337,0.32558,0.1056,2.4228,1.81688,1.22148,6.238e-05,6.238e-05,6.238e-05
78,22123,2.41169,1.99354,1.16137,0.34431,0.45252,0.37012,0.12222,2.35552,1.80877,1.21004,6.1885e-05,6.1885e-05,6.1885e-05
79,22359.1,2.42437,1.99203,1.14699,0.35379,0.47308,0.3751,0.12422,2.32737,1.69894,1.20163,6.139e-05,6.139e-05,6.139e-05
80,22627.6,2.39273,1.99291,1.15036,0.34058,0.46434,0.36618,0.1216,2.3383,1.7934,1.20995,6.0895e-05,6.0895e-05,6.0895e-05
81,22895.3,2.3916,1.98367,1.15588,0.35127,0.45131,0.36304,0.11829,2.35307,1.80711,1.20877,6.04e-05,6.04e-05,6.04e-05
82,23134.9,2.38643,1.95708,1.14412,0.36743,0.44974,0.37858,0.12911,2.32574,1.72772,1.19801,5.9905e-05,5.9905e-05,5.9905e-05
83,23419.8,2.36757,1.94742,1.14194,0.33827,0.48013,0.37973,0.1277,2.33925,1.8002,1.20581,5.941e-05,5.941e-05,5.941e-05
84,23683.8,2.35433,1.94757,1.14552,0.35806,0.45995,0.38399,0.12792,2.34095,1.71813,1.20278,5.8915e-05,5.8915e-05,5.8915e-05
85,23974.2,2.38564,1.94934,1.14578,0.34209,0.454,0.36763,0.11879,2.39717,1.78517,1.21885,5.842e-05,5.842e-05,5.842e-05
86,24262.5,2.36042,1.92909,1.14942,0.33541,0.47121,0.37082,0.12277,2.33915,1.81424,1.20783,5.7925e-05,5.7925e-05,5.7925e-05
87,24514.9,2.38928,1.94509,1.13944,0.35251,0.47052,0.37298,0.12289,2.33986,1.7768,1.20446,5.743e-05,5.743e-05,5.743e-05
88,24769.2,2.34663,1.94025,1.14711,0.34382,0.46552,0.37494,0.12326,2.33599,1.7416,1.20619,5.6935e-05,5.6935e-05,5.6935e-05
89,25040,2.36983,1.95395,1.14821,0.37193,0.46222,0.39539,0.12912,2.32736,1.79677,1.2055,5.644e-05,5.644e-05,5.644e-05
90,25319.7,2.35167,1.90303,1.14144,0.33588,0.4543,0.36712,0.1166,2.42606,1.72527,1.21756,5.5945e-05,5.5945e-05,5.5945e-05
91,25560.1,2.34295,1.91826,1.14685,0.35417,0.4579,0.3769,0.12428,2.35875,1.79306,1.21033,5.545e-05,5.545e-05,5.545e-05
92,25842.3,2.33389,1.92765,1.13435,0.35735,0.47313,0.39866,0.13212,2.33197,1.75771,1.20308,5.4955e-05,5.4955e-05,5.4955e-05
93,26121.5,2.33382,1.89899,1.1299,0.3634,0.49084,0.40546,0.13585,2.32258,1.70683,1.20116,5.446e-05,5.446e-05,5.446e-05
94,26396.2,2.31765,1.90192,1.13573,0.37618,0.45987,0.39494,0.13234,2.33938,1.7802,1.19731,5.3965e-05,5.3965e-05,5.3965e-05
95,26625.2,2.34117,1.90756,1.13573,0.38082,0.47318,0.4129,0.1357,2.32286,1.73033,1.19845,5.347e-05,5.347e-05,5.347e-05
96,26897.8,2.29071,1.87809,1.13654,0.37528,0.4699,0.40282,0.13393,2.3521,1.71679,1.20323,5.2975e-05,5.2975e-05,5.2975e-05
97,27180.7,2.31845,1.88637,1.12824,0.37009,0.4613,0.38369,0.12548,2.33777,1.76538,1.21114,5.248e-05,5.248e-05,5.248e-05
98,27452.5,2.32219,1.87998,1.13985,0.37496,0.47897,0.41221,0.13964,2.3291,1.68252,1.19766,5.1985e-05,5.1985e-05,5.1985e-05
99,27715.9,2.3374,1.89756,1.12566,0.38993,0.46558,0.40188,0.13497,2.30649,1.79737,1.18925,5.149e-05,5.149e-05,5.149e-05
100,27984.7,2.30381,1.86019,1.13437,0.37467,0.46457,0.39876,0.13152,2.31267,1.7239,1.20062,5.0995e-05,5.0995e-05,5.0995e-05
101,28260.7,2.30127,1.86609,1.13577,0.38687,0.47244,0.4171,0.14079,2.31147,1.71264,1.19088,5.05e-05,5.05e-05,5.05e-05
102,28555.7,2.28938,1.85456,1.12279,0.37949,0.45389,0.39291,0.12887,2.33485,1.74245,1.19843,5.0005e-05,5.0005e-05,5.0005e-05
103,28810.2,2.28328,1.85601,1.12159,0.36401,0.48125,0.41291,0.13647,2.30487,1.71652,1.1902,4.951e-05,4.951e-05,4.951e-05
104,29096.2,2.2788,1.83424,1.1178,0.3551,0.4829,0.41245,0.13458,2.35689,1.751,1.19878,4.9015e-05,4.9015e-05,4.9015e-05
105,29336.1,2.27979,1.85445,1.11713,0.38165,0.46055,0.39516,0.13179,2.33972,1.74472,1.19956,4.852e-05,4.852e-05,4.852e-05
106,29576.5,2.27121,1.85468,1.11556,0.38038,0.46334,0.40006,0.13528,2.30666,1.70552,1.19856,4.8025e-05,4.8025e-05,4.8025e-05
107,29857.8,2.25325,1.84393,1.11721,0.39155,0.48262,0.41322,0.14091,2.30079,1.69754,1.1897,4.753e-05,4.753e-05,4.753e-05
108,30124.3,2.27145,1.83011,1.11227,0.38057,0.48425,0.41129,0.13843,2.30222,1.67502,1.19184,4.7035e-05,4.7035e-05,4.7035e-05
109,30396.5,2.26861,1.8504,1.12028,0.36791,0.48419,0.40658,0.13777,2.33117,1.7126,1.2044,4.654e-05,4.654e-05,4.654e-05
110,30681.5,2.27238,1.82722,1.11476,0.36877,0.46954,0.3897,0.12871,2.35505,1.74193,1.19782,4.6045e-05,4.6045e-05,4.6045e-05
111,30978.1,2.25913,1.80476,1.1148,0.37535,0.48208,0.41575,0.13659,2.32587,1.70512,1.19647,4.555e-05,4.555e-05,4.555e-05
112,31212.1,2.27828,1.81702,1.11439,0.37891,0.47208,0.40272,0.13273,2.34674,1.71729,1.21059,4.5055e-05,4.5055e-05,4.5055e-05
113,31488,2.25308,1.81102,1.10474,0.35982,0.47503,0.39966,0.13575,2.33565,1.70504,1.1964,4.456e-05,4.456e-05,4.456e-05
114,31778,2.27175,1.81475,1.11214,0.37084,0.50441,0.42492,0.14342,2.32027,1.67171,1.19303,4.4065e-05,4.4065e-05,4.4065e-05
115,32056.8,2.22671,1.79025,1.11216,0.35479,0.4755,0.38677,0.12979,2.34084,1.76628,1.19918,4.357e-05,4.357e-05,4.357e-05
116,32332.4,2.26047,1.81892,1.10306,0.38193,0.49716,0.42721,0.14422,2.32743,1.68382,1.19202,4.3075e-05,4.3075e-05,4.3075e-05
117,32620.7,2.2372,1.79879,1.10762,0.3684,0.47561,0.40558,0.13403,2.33677,1.71955,1.205,4.258e-05,4.258e-05,4.258e-05
118,32864.3,2.24536,1.7982,1.10149,0.37717,0.47628,0.41463,0.13797,2.32078,1.72198,1.19579,4.2085e-05,4.2085e-05,4.2085e-05
119,33138.1,2.25797,1.81466,1.1077,0.36764,0.48663,0.41883,0.13552,2.36734,1.72757,1.20535,4.159e-05,4.159e-05,4.159e-05
120,33366.3,2.24393,1.79915,1.1085,0.39143,0.48241,0.41179,0.13863,2.31502,1.67545,1.18879,4.1095e-05,4.1095e-05,4.1095e-05
121,33658.8,2.26406,1.788,1.11049,0.39765,0.50306,0.44247,0.14777,2.30665,1.65753,1.18867,4.06e-05,4.06e-05,4.06e-05
122,33936.7,2.22584,1.78126,1.10188,0.39715,0.4763,0.42776,0.14303,2.31484,1.69301,1.20098,4.0105e-05,4.0105e-05,4.0105e-05
123,34229.3,2.22934,1.79513,1.10572,0.38884,0.48809,0.43328,0.14553,2.32363,1.68298,1.19247,3.961e-05,3.961e-05,3.961e-05
124,34509.4,2.20856,1.75942,1.10023,0.39772,0.48723,0.42625,0.1411,2.32397,1.73204,1.19775,3.9115e-05,3.9115e-05,3.9115e-05
125,34776.1,2.24621,1.79935,1.11515,0.38711,0.48252,0.42692,0.14489,2.31033,1.67285,1.19607,3.862e-05,3.862e-05,3.862e-05
126,35040.3,2.26814,1.77016,1.10996,0.39478,0.49401,0.43627,0.14621,2.32276,1.68047,1.20127,3.8125e-05,3.8125e-05,3.8125e-05
127,35312.2,2.24083,1.7699,1.10263,0.37457,0.49365,0.41522,0.1382,2.33676,1.73786,1.19933,3.763e-05,3.763e-05,3.763e-05
128,35599.2,2.19389,1.76476,1.109,0.41371,0.48167,0.42938,0.14204,2.32644,1.69038,1.20079,3.7135e-05,3.7135e-05,3.7135e-05
129,35871,2.20926,1.75722,1.09223,0.40443,0.49012,0.43962,0.14909,2.30832,1.68914,1.18957,3.664e-05,3.664e-05,3.664e-05
130,36152.5,2.1978,1.74174,1.09965,0.39208,0.48205,0.42639,0.14269,2.31611,1.71919,1.19424,3.6145e-05,3.6145e-05,3.6145e-05
131,36443.7,2.20342,1.74048,1.09814,0.40753,0.48685,0.43815,0.14926,2.30123,1.64167,1.19259,3.565e-05,3.565e-05,3.565e-05
132,36730.8,2.21681,1.75693,1.1051,0.38826,0.48069,0.43409,0.1478,2.31063,1.71418,1.19079,3.5155e-05,3.5155e-05,3.5155e-05
133,37018.8,2.19233,1.74308,1.09057,0.40911,0.48678,0.43868,0.15032,2.31591,1.63822,1.18991,3.466e-05,3.466e-05,3.466e-05
134,37281.4,2.20064,1.7318,1.09476,0.39657,0.48778,0.44005,0.14679,2.33999,1.67482,1.19975,3.4165e-05,3.4165e-05,3.4165e-05
135,37591.8,2.19191,1.73226,1.10752,0.41188,0.4753,0.43676,0.14382,2.35597,1.64046,1.19668,3.367e-05,3.367e-05,3.367e-05
136,37904.2,2.18107,1.73564,1.099,0.40647,0.48603,0.4452,0.14855,2.32768,1.68048,1.19749,3.3175e-05,3.3175e-05,3.3175e-05
137,38172.5,2.19463,1.72148,1.08802,0.40471,0.48441,0.44147,0.14907,2.33611,1.66504,1.19816,3.268e-05,3.268e-05,3.268e-05
138,38419,2.18026,1.71043,1.09416,0.39476,0.49274,0.43916,0.15111,2.31473,1.6615,1.1946,3.2185e-05,3.2185e-05,3.2185e-05
139,38710.4,2.18499,1.72222,1.09575,0.3899,0.49608,0.43225,0.14607,2.34181,1.70986,1.19632,3.169e-05,3.169e-05,3.169e-05
140,38980.4,2.157,1.69186,1.09424,0.41567,0.49469,0.44892,0.15458,2.30572,1.62712,1.18936,3.1195e-05,3.1195e-05,3.1195e-05
141,39265.6,2.16425,1.72457,1.08293,0.4122,0.478,0.43064,0.14437,2.32018,1.74767,1.19502,3.07e-05,3.07e-05,3.07e-05
142,39553.2,2.1549,1.71538,1.08424,0.41103,0.48614,0.44147,0.1487,2.32376,1.65262,1.19962,3.0205e-05,3.0205e-05,3.0205e-05
143,39844.8,2.18454,1.7247,1.1014,0.42031,0.49328,0.45236,0.1516,2.33044,1.65081,1.1948,2.971e-05,2.971e-05,2.971e-05
144,40122.5,2.18783,1.73419,1.08985,0.42517,0.48991,0.4548,0.15401,2.31041,1.63651,1.18811,2.9215e-05,2.9215e-05,2.9215e-05
145,40411.8,2.15358,1.69683,1.09214,0.40981,0.48196,0.44594,0.14869,2.32822,1.68484,1.19359,2.872e-05,2.872e-05,2.872e-05
146,40660.7,2.16725,1.70858,1.08318,0.41883,0.47931,0.44214,0.14986,2.32207,1.70717,1.19336,2.8225e-05,2.8225e-05,2.8225e-05
147,40944.6,2.17831,1.67388,1.08507,0.41921,0.48918,0.44412,0.15128,2.31126,1.64628,1.19575,2.773e-05,2.773e-05,2.773e-05
148,41222.7,2.14281,1.68527,1.08851,0.41611,0.47986,0.43933,0.14923,2.31205,1.69272,1.19119,2.7235e-05,2.7235e-05,2.7235e-05
149,41464.2,2.16113,1.69533,1.08123,0.43358,0.49146,0.45745,0.15538,2.3086,1.61129,1.19399,2.674e-05,2.674e-05,2.674e-05
150,41690.8,2.1453,1.6947,1.07962,0.42784,0.48726,0.45468,0.15597,2.31506,1.65354,1.19111,2.6245e-05,2.6245e-05,2.6245e-05
151,41941.3,2.12527,1.67966,1.08931,0.43707,0.50498,0.47089,0.15945,2.31493,1.64367,1.19352,2.575e-05,2.575e-05,2.575e-05
152,42207.2,2.13392,1.66472,1.07856,0.43053,0.4906,0.45553,0.15094,2.33417,1.66,1.19727,2.5255e-05,2.5255e-05,2.5255e-05
153,42461.5,2.16721,1.70904,1.08663,0.42978,0.49339,0.44968,0.1505,2.334,1.6848,1.19727,2.476e-05,2.476e-05,2.476e-05
154,42748.9,2.15561,1.69473,1.08901,0.41683,0.49375,0.44914,0.1488,2.32525,1.67912,1.1921,2.4265e-05,2.4265e-05,2.4265e-05
155,42982.4,2.12725,1.66219,1.08658,0.43938,0.50288,0.46698,0.15874,2.2966,1.60895,1.18524,2.377e-05,2.377e-05,2.377e-05
156,43283.3,2.14648,1.68815,1.08705,0.43229,0.49284,0.45954,0.15488,2.31528,1.65228,1.19178,2.3275e-05,2.3275e-05,2.3275e-05
157,43574.8,2.14758,1.67047,1.0776,0.41373,0.4849,0.4449,0.15149,2.32399,1.65932,1.19539,2.278e-05,2.278e-05,2.278e-05
